"","frist_vac","second","events","cumnum","N","est","lower","upper","group"
"176","Yes",2022-12-02,0,0,795,0,0,0.309929083014764,3
"177","Yes",2022-12-03,0,0,795,0,0,0.309929083014764,3
"178","Yes",2022-12-04,0,0,795,0,0,0.309929083014764,3
"179","Yes",2022-12-05,0,0,795,0,0,0.309929083014764,3
"180","Yes",2022-12-06,0,0,795,0,0,0.309929083014764,3
"181","Yes",2022-12-07,0,0,795,0,0,0.309929083014764,3
"182","Yes",2022-12-08,0,0,795,0,0,0.309929083014764,3
"183","Yes",2022-12-09,0,0,795,0,0,0.309929083014764,3
"184","Yes",2022-12-10,0,0,795,0,0,0.309929083014764,3
"185","Yes",2022-12-11,0,0,795,0,0,0.309929083014764,3
"186","Yes",2022-12-12,0,0,795,0,0,0.309929083014764,3
"187","Yes",2022-12-13,0,0,795,0,0,0.309929083014764,3
"188","Yes",2022-12-14,0,0,795,0,0,0.309929083014764,3
"189","Yes",2022-12-15,0,0,795,0,0,0.309929083014764,3
"190","Yes",2022-12-16,0,0,795,0,0,0.309929083014764,3
"191","Yes",2022-12-17,1,1,795,0.125786163522013,0.0114081236107225,0.58642427890905,3
"192","Yes",2022-12-18,1,2,795,0.251572327044025,0.0501687309367051,0.806394231393074,3
"193","Yes",2022-12-19,3,5,795,0.628930817610063,0.238539324584036,1.37856084913967,3
"194","Yes",2022-12-20,1,6,795,0.754716981132076,0.313708395115391,1.55570791291265,3
"195","Yes",2022-12-21,1,7,795,0.880503144654088,0.392648012726565,1.72888573778767,3
"196","Yes",2022-12-22,5,12,795,1.50943396226415,0.82427388107332,2.55653744567771,3
"197","Yes",2022-12-23,9,21,795,2.64150943396226,1.68400329240479,3.96184705362341,3
"198","Yes",2022-12-24,8,29,795,3.64779874213836,2.4939563319893,5.16480692157865,3
"199","Yes",2022-12-25,3,32,795,4.0251572327044,2.80474899692178,5.60881415070852,3
"200","Yes",2022-12-26,8,40,795,5.0314465408805,3.6472889250346,6.77901386862089,3
"201","Yes",2022-12-27,4,44,795,5.53459119496855,4.07466720583768,7.35798369260935,3
"202","Yes",2022-12-28,6,50,795,6.28930817610063,4.721872891301,8.22028269548719,3
"203","Yes",2022-12-29,4,54,795,6.79245283018868,5.15687113988252,8.79161225222387,3
"204","Yes",2022-12-30,2,56,795,7.0440251572327,5.37531057213246,9.07633467806567,3
"205","Yes",2022-12-31,2,58,795,7.29559748427673,5.59433258438273,9.360473347303,3
"206","Yes",2023-01-01,0,58,795,7.29559748427673,5.59433258438273,9.360473347303,3
"207","Yes",2023-01-02,1,59,795,7.42138364779874,5.70405268341622,9.50233318487276,3
"208","Yes",2023-01-03,3,62,795,7.79874213836478,6.03400805389535,9.92711616286342,3
